model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_8softmax-16relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",softmax,relu,relu,8,0.8605437278747559,0.8714444637298584,0.9688342809677124,0.8123000264167786
"conv_8relu-16softmax_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",relu,softmax,softmax,16,0.035721298307180405,0.9896666407585144,0.030764998868107796,0.9898999929428101
"conv_8softmax-16relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",softmax,relu,relu,7,0.88068026304245,0.8881111145019531,0.9539100527763367,0.8791999816894531
"conv_8softmax-16softmax_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",softmax,softmax,relu,9,0.7878237366676331,0.8966666460037231,0.7478348016738892,0.8896999955177307
"conv_8softmax-16softmax_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",softmax,softmax,softmax,17,0.0348527729511261,0.9894444346427917,0.03218691796064377,0.989799976348877
"conv_16relu-32relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",relu,relu,relu,3,2.1164557933807373,0.19811111688613892,2.1213626861572266,0.19040000438690186
"conv_16relu-32relu_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",relu,relu,softmax,14,0.044217951595783234,0.9869999885559082,0.044083282351493835,0.9847999811172485
"conv_16relu-32softmax_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",relu,softmax,relu,4,2.3023273944854736,0.09911110997200012,2.30259108543396,0.09799999743700027
"conv_16softmax-32relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",softmax,relu,relu,4,2.3025832176208496,0.2669999897480011,2.302360773086548,0.09809999912977219
"conv_16relu-32softmax_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",relu,softmax,softmax,11,0.03902023285627365,0.9894444346427917,0.03943697735667229,0.9876999855041504
